SID,DATE,AGE,SMR,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._50,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._100,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._150,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._200,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._250,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._300,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._340,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._365,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._365_,AVG,CID,SCORE
PC200-10- -451294,20190917,2054,66101350,0.4093457395348204,0.13979614637219967,0.2536708856929548,0.1203596900819726,0.040744825937745595,0.027102593214813314,0.004125709989281611,0.00409820676884814,7.562024073638436E-4,0.1111111111111111,6,1
PC200-10- -451291,20190917,1831,100028215,0.3008765876707887,0.17757851622164805,0.29174809327548235,0.1452565758571219,0.047969335452002215,0.030301320482425884,0.0036073221940429506,0.0020642775640852934,5.979712824026701E-4,0.1111111111111111,3,1
PC200-8- -307311,20170517,3685,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451290,20190917,1831,72125215,0.2942208213868063,0.17319730693350446,0.2748123385143462,0.15217316163286307,0.05933903975190923,0.038094666338256325,0.004434801338200517,0.0029603655254268565,7.674985786870791E-4,0.1111111111111111,9,2
PC200-8-N1-355038,20170517,1659,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -307314,20170517,3547,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355039,20170517,1614,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-315819,20170517,2754,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451286,20190917,2054,102508337,0.3873223014046165,0.14137197445706295,0.25718095495003496,0.1275003222420826,0.050764475868923714,0.028234630320848927,0.004712231357338281,0.002323430532289291,5.896788668028045E-4,0.1111111111111111,6,1
PC200-8-N1-314517,20170517,3211,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355022,20170517,1689,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-315848,20170517,2815,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451285,20190917,2054,76577836,0.41354463189583995,0.14473326198457737,0.24403525845258933,0.11828627541786373,0.04291317398940341,0.028450817022303947,0.00453362249620112,0.002822304876831463,6.80653864389691E-4,0.1111111111111111,6,1
PC200-8-N1-357684,20170517,1294,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-315849,20170517,2815,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356353,20170517,1401,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355023,20170517,1689,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355024,20170517,1689,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451288,20190917,2054,67478706,0.4084899019847832,0.1440155506242221,0.23653521156733504,0.1290783643657897,0.04700951141534931,0.027330043940083853,0.004429160215372239,0.0024363834125687,6.758724744958802E-4,0.1111111111111111,6,1
PC200-8-N1-355025,20170517,1689,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451287,20170517,1201,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356350,20170517,1434,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
